SYSTEMSTOP,STREET,CROSS_ST,DIR,POS,ROUTESSTPG,OWLROUTES,CITY,STATUS,PUBLIC_NAME,POINT_X,Longitude,Latitude,LEDSIGN,ADA,
9621,,AUSTIN,HARRISON,NB,FT,91,,CHICAGO,In Service,Austin & Harrison,-87.774269,41.872684,Point,0,0
11209,,LAWNDALE,27TH STREET,NB,NS,82,,CHICAGO,In Service,Lawndale & 27th Street,-87.717101,41.842426,Point,0,1
5410,,BROADWAY,BELLE PLAINE,NB,NS,36,,CHICAGO,In Service,Broadway & Belle Plaine,-87.651957,41.956822,Point,0,1
11229,,HOMAN,LEXINGTON,NB,NS,82,,CHICAGO,In Service,Homan & Lexington,-87.710648,41.871733,Point,0,1
11244,,HOMAN,OHIO,NB,NS,82,,CHICAGO,In Service,Homan & Ohio,-87.711264,41.891758,Point,1,1
9617,,AUSTIN,ROOSEVELT,NB,FS,91,,CHICAGO,In Service,Austin & Roosevelt,-87.774045,41.865629,Point,0,1
9656,,AUSTIN,BARRY,NB,NS,91,,CHICAGO,In Service,Austin & Barry,-87.776073,41.936519,Point,0,1
15056,,PULASKI,2300 SOUTH,NB,FS,53,,CHICAGO,In Service,2300 S Pulaski,-87.724594,41.8495,Point,0,1
10434,,CICERO,SHERWIN,NB,FT,54A,,LINCOLNWOOD,In Service,Cicero & Sherwin,-87.747761,42.014399,Point,0,1
11603,,CENTRAL,BELDEN,NB,NT,85,,CHICAGO,In Service,Central & Belden,-87.765833,41.922112,Point,0,1
11276,,KIMBALL,BELLE PLAINE,NB,NS,82,,CHICAGO,In Service,Kimball & Belle Plaine,-87.712886,41.955609,Point,0,1
11797,,HARLEM,WRIGHTWOOD (south leg),NB,NS,90,,CHICAGO,In Service,Harlem & Wrightwood,-87.80624,41.927036,Point,1,1
11804,,HARLEM,SCHOOL,NB,NS,90,,CHICAGO,In Service,Harlem & School,-87.80673,41.939727,Point,0,1
7425,,31ST STREET,SPAULDING,WB,NS,35,,CHICAGO,In Service,31st Street & Spaulding,-87.707087,41.837271,Point,0,1
15920,,BRAINARD,BALTIMORE,NWB,NS,30,,CHICAGO,In Service,Brainard & Baltimore,-87.547037,41.649449,Point,0,1
1483,,WESTERN,LELAND/BROWN STATION,WB,TERM,11,<Null>,CHICAGO,In Service,Western Brown Line Station,-87.688552,41.966052,Point,0,1
17379,,BELMONT,RED/BROWN/PURPLE LINE,EB,MB,77,N77,CHICAGO,In Service,Belmont Red/Brown/Purple Line Station,-87.653062,41.93987,Point,0,1
17387,,79TH STREET,HONORE,EB,NS,79,N79,CHICAGO,In Service,79th Street & Honore,-87.669608,41.750206,Point,0,1
5875,,HALSTED,69TH STREET,NB,NS,169,,CHICAGO,In Service,Halsted & 69th Street,-87.644421,41.768725,Point,0,0
6890,,79TH STREET,VINCENNES,EB,FS,24,,CHICAGO,In Service,79th Street & Vincennes,-87.633703,41.750725,Point,0,1
6451,,WENTWORTH,66TH STREET,NB,NS,24,,CHICAGO,In Service,Wentworth & 66th Street,-87.629938,41.774418,Point,0,1
1918,,CLARK,SURF,NB,NS,22,N22,CHICAGO,In Service,Clark & Surf,-87.646302,41.934752,Point,0,1
10384,,CICERO,72ND STREET,NB,NS,54B,,CHICAGO,In Service,Cicero & 72nd Street,-87.741577,41.761819,Point,0,1
2299,,STATE,64TH STREET,NB,NT,29,,CHICAGO,In Service,State & 64th Street,-87.625167,41.777535,Point,0,0
11261,,KIMBALL,BELDEN,NB,NS,82,,CHICAGO,In Service,Kimball & Belden,-87.711968,41.92275,Point,0,0
6414,,VINCENNES,WINSTON (101ST PLACE),NB,NT,112,,CHICAGO,In Service,Vincennes & Winston (10200 South),-87.655287,41.708551,Point,0,1
4146,,CALIFORNIA,66TH STREET,NB,NS,94,,CHICAGO,In Service,California & 66th Street,-87.693139,41.773571,Point,0,0
16011,,CHICAGO AVENUE,SOUTH BLVD,NB,NS,205,<Null>,EVANSTON,Flag,Chicago Avenue & South Blvd (Purple Line),-87.678053,42.027127,Point,0,1
2283,,STATE,80TH STREET,NB,NS,29,,CHICAGO,In Service,State & 80th Street,-87.624425,41.748982,Point,0,0
12112,,YATES,99TH STREET,NB,NS,100,,CHICAGO,In Service,Yates & 99th Street,-87.564552,41.715256,Point,0,0
9670,,AUSTIN,SUNNYSIDE,NB,NS,91,,CHICAGO,In Service,Austin & Sunnyside,-87.777005,41.962075,Point,0,1
7812,,HARLEM,58TH STREET,NB,NS,62H,,CHICAGO,In Service,Harlem & 58th Street,-87.801178,41.786431,Point,0,0
10324,,CICERO,BARRY,NB,NS,54,,CHICAGO,In Service,Cicero & Barry,-87.746668,41.936918,Point,0,1
2362,,WESTERN,95TH STREET,NB,FS,95,,CHICAGO,In Service,Western & 95th Street,-87.681953,41.721479,Point,1,1
11600,,CENTRAL,over ARMITAGE,NB,MB,85,,CHICAGO,In Service,Central & Armitage,-87.765628,41.916751,Point,0,1
2166,,KING DRIVE,3600 SOUTH,NB,MB,3,,CHICAGO,In Service,3600 S King Drive,-87.617008,41.8292,Point,0,0
4147,,CALIFORNIA,65TH STREET,NB,NS,94,,CHICAGO,In Service,California & 65th Street,-87.693182,41.775395,Point,0,1
11269,,KIMBALL,WISNER/WELLINGTON,NB,NS,82,,CHICAGO,In Service,Kimball & Wisner/Wellington,-87.712297,41.935287,Point,0,0
12206,,103RD STREET,ST. LOUIS,WB,NS,103,,EVERGREEN PARK,In Service,103rd Street & St. Louis,-87.708593,41.706193,Point,0,1
946,,NORTH AVENUE,HOYNE,WB,NS,72,,CHICAGO,In Service,North Ave & Hoyne,-87.67976,41.910535,Point,0,1
2102,,DIVISION,MAYFIELD,WB,NS,70,,CHICAGO,In Service,Division & Mayfield,-87.772805,41.902153,Point,0,1
12072,,LUNT,OAKLEY,WB,NS,96,,CHICAGO,In Service,Lunt & Oakley,-87.688017,42.008705,Point,0,0
12626,,ADDISON,OVERHILL,WB,NS,152,,CHICAGO,In Service,Addison & Overhill,-87.819467,41.945287,Point,0,0
4214,,FULTON,CALIFORNIA,WB,FS,94,,CHICAGO,In Service,Fulton & California,-87.6963,41.886608,Point,0,1
12174,,103RD STREET,UNION,WB,NS,103,,CHICAGO,In Service,103rd Street & Union,-87.640302,41.707015,Point,0,0
10101,,69TH STREET,ABERDEEN,WB,NS,67,,CHICAGO,In Service,69th Street & Aberdeen,-87.651678,41.768791,Point,0,1
12422,,119TH STREET,WALLACE,WB,NS,119,,CHICAGO,In Service,119th Street & Wallace,-87.636971,41.677924,Point,0,1
123,,JACKSON,ALBANY,WB,FS,126,,CHICAGO,In Service,Jackson & Albany,-87.703783,41.87741,Point,0,1
3332,,65TH STREET,MENARD(west leg),WB,NS,165,,CHICAGO,In Service,65th Street & Menard,-87.766328,41.774388,Point,0,1
1772,,DEVON,CAMPBELL,WB,NS,155,,CHICAGO,In Service,Devon & Campbell,-87.692203,41.997773,Point,0,1
5747,,IRVING PARK,ORIOLE,WB,NS,80,,NORRIDGE,In Service,Irving Park & Oriole,-87.816965,41.952615,Point,0,1
5699,,IRVING PARK,ALBANY,WB,NS,80,,CHICAGO,In Service,Irving Park & Albany,-87.705462,41.954045,Point,0,1
5270,,100TH STREET,HOXIE,WB,FS,100,,CHICAGO,In Service,100th Street & Hoxie,-87.56124,41.713628,Point,0,0
3274,,63RD STREET,KILDARE,WB,NS,63,N63,CHICAGO,In Service,63rd Street & Kildare,-87.729888,41.778698,Point,1,1
5749,,IRVING PARK,OVERHILL,WB,NS,80,,NORRIDGE,In Service,Irving Park & Overhill,-87.81937,41.952547,Point,0,1
12368,,111TH STREET,CAMPBELL,WB,NS,112,,CHICAGO,In Service,111th Street & Campbell,-87.683485,41.691836,Point,0,1
13139,,DODGE,SIMPSON,SB,FS,206,,EVANSTON,Flag,Dodge & Simpson,-87.698978,42.055435,Point,0,0
6467,,WENTWORTH,51ST STREET,NB,NS,24,,CHICAGO,In Service,Wentworth & 51st Street,-87.630566,41.801671,Point,0,1
6482,,LASALLE,31ST STREET,NB,FS,24,,CHICAGO,In Service,LaSalle & 31st Street,-87.62998,41.838512,Point,0,1
10132,,71ST STREET,PULASKI,EB,FS,67,,CHICAGO,In Service,71st Street & Pulaski,-87.722117,41.764024,Point,0,1
14604,,63RD STREET,LAWNDALE,EB,FS,63,N63,CHICAGO,In Service,63rd Street & Lawndale,-87.715243,41.778694,Point,1,1
550,,CHICAGO,LEAVITT,EB,NS,66,N66,CHICAGO,In Service,Chicago & Leavitt,-87.68207,41.895749,Point,1,1
15327,,79TH STREET,LOOMIS,EB,FS,79,N79,CHICAGO,In Service,79th Street & Loomis,-87.65834,41.750362,Point,0,1
6750,,16TH STREET,ALBANY,EB,NS,18,,CHICAGO,In Service,16th Street & Albany,-87.703052,41.859055,Point,0,1
1502,,LINCOLN,PETERSON,NWB,NS,11,,CHICAGO,In Service,Lincoln & Peterson,-87.706879,41.990236,Point,0,1
18175,,HOMAN,CHICAGO,SB,FS,82,,CHICAGO,In Service,Homan & Chicago,-87.711517,41.895247,Point,0,0
1446,,LASALLE,DIVISION,NB,FS,156,,CHICAGO,In Service,LaSalle & Division,-87.632784,41.90402,Point,1,1
15356,,HALSTED,LAKE,NB,FS,8,,CHICAGO,In Service,Halsted & Lake,-87.647411,41.885819,Point,0,1
11740,,NARRAGANSETT,BLOOMINGDALE,NB,NS,86,,CHICAGO,In Service,Narragansett & Bloomingdale,-87.785039,41.912685,Point,0,1
5966,,HALSTED,BELMONT,NB,NS,8,,CHICAGO,In Service,Halsted & Belmont,-87.649164,41.9399,Point,0,1
15845,,MILWAUKEE,WOOD (north leg)/WOLCOTT,NWB,FS,56,,CHICAGO,In Service,Milwaukee & Wolcott/Wood,-87.672805,41.907481,Point,0,1
9948,,NORTHWEST HWY,AUSTIN,SEB,NS,68,,CHICAGO,In Service,Northwest Hwy & Austin,-87.778271,41.980596,Point,0,1
14057,,CLARK,ROGERS,SB,NS,22,N22,CHICAGO,In Service,Clark & Rogers,-87.675328,42.016117,Point,0,1
1365,,LINCOLN,BRYN MAWR,SEB,NS,11,,CHICAGO,In Service,Lincoln & Bryn Mawr,-87.695526,41.983248,Point,1,1
2393,,STATE,29TH STREET,SB,NT,29,,CHICAGO,In Service,State & 29th Street,-87.626915,41.842095,Point,0,1
5336,,BROADWAY,VICTORIA,SB,NS,36,,CHICAGO,In Service,Broadway & Victoria,-87.660241,41.987013,Point,1,1
6544,,WENTWORTH,72ND STREET,SB,NS,24,,CHICAGO,In Service,Wentworth & 72nd Street,-87.629778,41.763775,Point,0,1
8627,,UPS FACILITY,STOP 1,NEB,TERM,169,,HODGKINS,In Service,Ups Facility Stop 1,-87.884297,41.747604,Point,0,0
11131,,KIMBALL,MONTROSE,SB,NS,82,,CHICAGO,In Service,Kimball & Montrose,-87.713207,41.961208,Point,0,1
2423,,STATE,57TH STREET,SB,NS,29,,CHICAGO,In Service,State & 57th Street,-87.625683,41.791223,Point,0,1
14443,,BROADWAY,ROSEMONT,SB,FS,36,,CHICAGO,In Service,Broadway & Rosemont,-87.660559,41.996203,Point,0,1
9011,,PULASKI,PALMER,SB,NS,53,N53,CHICAGO,In Service,Pulaski & Palmer,-87.726761,41.920913,Point,0,1
11442,,PETERSON,LAWNDALE,EB,MT,84,,CHICAGO,In Service,Peterson & Lawndale,-87.721242,41.990163,Point,0,1
