RCDT,Site Number,Site Name,Site Address,Site City,Site County,Site Zip,Zip 5,Free Eligibles,Reduced Eligibles,Free and Reduced,Enrollment,Eligibility Percent,Participates in CEP
15016001P00,67996,Our Lady of Tepeyac High School,2228 S Whipple St,Chicago,Cook,60623-3425,60623,144,0,144,150,96%,X
15016001P00,68203,Catalyst Charter - Maria ES,6727 S California Ave,Chicago,Cook,60629-1816,60629,1250,0,1250,1250,100%,X
15016001P00,69757,Cristo Rey St Martin,501 S Martin Luther King Jr Ave,Waukegan,Lake,60085-6502,60085,332,0,332,400,82.82%,X
15016001P00,73622,LEARN Charter 9  Campus in Waukegan,540 S McAlister Ave,Waukegan,Lake,60085-6461,60085,404,0,404,404,100%,X
15016022P00,11001,Daniel F And Ada L Rice,1101 Washington St,Evanston,Cook,60202-1619,60202,36,0,36,36,100%,
15016023P00,43299,Uhlich Academy,3110 W Grand Ave,Chicago,Cook,60622-4324,60622,74,1,75,84,89.29%,
15016024P00,11008,Lydia Home Assoc,4300 W Irving Park Rd,Chicago,Cook,60641-2825,60641,41,0,41,41,100%,
15016032Y10,10705,Hales Franciscan High School,4930 S Cottage Grove Ave,Chicago,Cook,60615-2616,60615,171,3,174,192,90.63%,
15016038Y10,46914,Holy Trinity High School,1443 W Division St,Chicago,Cook,60642-3324,60642,196,42,238,348,68.39%,
15016042Z10,66271,Josephinum Academy,1501 N Oakley Blvd,Chicago,Cook,60622-1850,60622,114,14,128,188,68.09%,
15016075S19,11769,So Central Comm Serv-So Shore,7550 S Phillips Ave,Chicago,Cook,60649-3724,60649,16,0,16,17,94.12%,
15016075S19,11770,South Central Comm Serv Inc,1021 E 83rd St,Chicago,Cook,60619-5505,60619,9,0,9,11,81.82%,
15016107X01,48711,Northwest Institute,4040 W Division St,Chicago,Cook,60651-1903,60651,31,0,31,33,93.94%,
15016107X01,48712,Northwest Inst for Contemp Acad,5108 W Division St,Chicago,Cook,60651-1436,60651,62,0,62,63,98.41%,
15016117Y01,11315,Puerto Rican H S - Pedro A Campos,2739 W Division St,Chicago,Cook,60622-2854,60622,185,9,194,202,96.04%,
15016118Y05,11321,Telshe High School,3535 W Foster Ave,Chicago,Cook,60625-5526,60625,22,6,28,104,26.92%,
15016175X06,68331,Grace Christian Academy,4106 W 28th St,Chicago,Cook,60623-4358,60623,76,14,90,121,74.38%,
15016189X06,11558,St Paul Lutheran School,846 N Menard Ave,Chicago,Cook,60651-2663,60651,53,10,63,96,65.63%,
15016190X06,11559,St Paul Lutheran School,7621 S Dorchester Ave,Chicago,Cook,60619-3425,60619,62,3,65,70,92.86%,
150162990AE,42899,CICS - Prairie Campus,11530 S Prairie Ave,Chicago,Cook,60628-5612,60628,420,0,420,420,100%,X
150162990AE,75581,CICS - Avalon/South Shore,1501 E 83rd Pl,Chicago,Cook,60619-6501,60619,289,0,289,473,61.05%,X
150162990AE,75582,CICS - Basil Campus,1816 W Garfield Blvd,Chicago,Cook,60609-5606,60609,724,0,724,724,100%,X
150162990AE,75583,CICS - Bond Campus,13300 S Langley Ave,Chicago,Cook,60827-1396,60827,331,0,331,331,100%,X
150162990AE,75584,CICS - Bucktown Campus,2235 N Hamilton Ave,Chicago,Cook,60647-3303,60647,611,0,611,702,86.93%,X
150162990AE,75585,CICS - Irving Park Campus,3820 N Spaulding Ave,Chicago,Cook,60618-4413,60618,373,0,373,555,67.19%,X
150162990AE,75586,CICS - Longwood Campus,1309 W 95th St,Chicago,Cook,60643-1496,60643,1272,0,1272,1272,100%,X
150162990AE,75587,CICS - Loomis Primary Campus,9535 S Loomis St,Chicago,Cook,60643-1374,60643,553,0,553,553,100%,X
150162990AE,75588,CICS - Northtown  Campus,3900 W Peterson Ave,Chicago,Cook,,,859,0,859,904,95.02%,X
150162990AE,75589,CICS - Quest North Campus,1443 N Ogden Ave,Chicago,Cook,60610-1007,60610,245,0,245,257,95.18%,X
150162990AE,75590,CICS - Ralph Ellison Campus,1817 W 80th St,Chicago,Cook,60620-4557,60620,370,0,370,400,92.27%,X
150162990AE,75591,CICS - Washington Pk Campus,110 E 61st St,Chicago,Cook,60637-2116,60637,455,0,455,455,100%,X
150162990AE,75592,CICS - West Belden Campus,2245 N McVicker Ave,Chicago,Cook,60639-2766,60639,531,0,531,531,100%,X
150162990AE,75593,CICS - Wrightwood,8130 S California Ave,Chicago,Cook,60652-2716,60652,750,0,750,750,100%,X
150162990AF,42504,Noble Street Charter Schools,1 N State St Fl 7TH,Chicago,Cook,60602-3302,60602,510,72,582,652,89.26%,
150162990AF,57319,Noble St Chtr Rauner College Prep,1337 W Ohio St,Chicago,Cook,60642-6430,60642,439,79,518,632,81.96%,
150162990AF,57320,Noble St Chtr-Pritzker College Prep,4131 W Cortland St,Chicago,Cook,60639-4923,60639,891,49,940,984,95.53%,
150162990AF,59044,Noble St Chtr-Rowe-Clark MS Acad,3645 W Chicago Ave,Chicago,Cook,60651-3934,60651,436,13,449,462,97.19%,
150162990AF,59045,Noble St Chtr-Golder College Prep,1454 W Superior St,Chicago,Cook,60642-5255,60642,551,64,615,662,92.9%,
150162990AF,60923,Noble St Chtr-Comer College Prep,7131 S South Chicago Ave,Chicago,Cook,60619-1254,60619,869,112,981,1102,89.02%,
150162990AF,60924,Noble St Chtr-UIC College Prep,1231 S Damen Ave,Chicago,Cook,60608-1145,60608,676,122,798,935,85.35%,
150162990AF,62856,Noble St Chtr-Chicago Bulls Prep,2040 W Adams St,Chicago,Cook,60612-3052,60612,897,127,1024,1137,90.06%,
150162990AF,62857,Noble St Chtr-Muchin College Prep,1 N State St,Chicago,Cook,60602-3302,60602,669,138,807,956,84.41%,
150162990AF,64839,Noble St Chtr-Johnson College Prep,6350 S Stewart Ave,Chicago,Cook,60621-3138,60621,730,31,761,801,95.01%,
150162990AF,68187,Noble St Chtr-Hansberry College Prep - Silver,8748 S Aberdeen St,Chicago,Cook,60620-3438,60620,488,60,548,636,86.16%,
150162990AF,68188,Noble St Chtr-DRW Trading College Prep,931 S Homan Ave,Chicago,Cook,60624-4108,60624,466,14,480,515,93.2%,
150162990AF,69800,Baker College Prep,2710 E 89th Street,Chicago,Cook,,,330,21,351,368,95.38%,
150162990AF,69804,Pullman College Prep,821 E 103rd Street,Chicago,Cook,,,551,44,595,649,91.68%,
150162990AF,72004,Noble St Chtr-ITW Speer Acad,2456 N Mango Ave,Chicago,Cook,60639-2313,60639,789,130,919,1019,90.19%,
150162990AF,72005,Noble St Chtr-The Noble Academy,1443 N Ogden Ave,Chicago,Cook,60610-1007,60610,376,43,419,495,84.65%,
150162990AF,74658,Noble St Chtr - Mansueto,5101 S Keeler Ave,Chicago,Cook,60632-4205,60632,434,48,482,524,91.98%,
